,TRBJ1-1,TRBJ1-2,TRBJ1-3,TRBJ1-4,TRBJ1-5,TRBJ1-6,TRBJ2-1,TRBJ2-2,TRBJ2-3,TRBJ2-4,TRBJ2-5,TRBJ2-6,TRBJ2-7
mild,0.662402126491016,0.662402126491016,0.662402126491016,0.940005435094234,0.563158672291102,0.798265878285476,0.563158672291102,0.927588186603813,0.798265878285476,0.563158672291102,0.798265878285476,0.662402126491016,0.563158672291102
mod,0.945343223342798,0.945343223342798,0.945343223342798,0.798265878285476,0.820922104772599,0.662402126491016,0.563158672291102,0.662402126491016,0.662402126491016,0.563158672291102,0.901775083723461,0.662540743863792,0.662402126491016
sev,0.662402126491016,0.662402126491016,0.945343223342798,0.662402126491016,0.650330524630808,0.945343223342798,0.563158672291102,0.945343223342798,0.798265878285476,0.662402126491016,0.945343223342798,0.563158672291102,0.798265878285476
