vgene,mean_covid,mean_hd,mean_diff,logfc,pval,padj,sig
TRBV27,0.0206746277462612,0.0272892022211429,-0.00661457447488175,-0.277583865185924,0.00718233759101191,0.117311513986528,0.930659360302109
TRBV4-1,0.017649619228711,0.0231804068832548,-0.00553078765454375,-0.272593181258488,0.0308601548828822,0.287086102027538,0.541987831393588
TRBV24-1,0.0137870144302061,0.0167927097574085,-0.00300569532720247,-0.197217683375273,0.026540535537595,0.287086102027538,0.541987831393588
TRBV28,0.0425106245319761,0.0522158579627972,-0.00970523343082111,-0.205632207467776,0.0351534002482699,0.287086102027538,0.541987831393588
TRBV7-2,0.0499119360317526,0.0381680057216744,0.0117439303100782,0.26826255506564,0.0624840273760822,0.4052977722917,0.392225783339681
TRBV7-3,0.0166177130553419,0.0125358801053262,0.00408183295001564,0.281874237015806,0.066171064863951,0.4052977722917,0.392225783339681
TRBV16,0.0007445394717825,0.00096812404291902,-0.00022358457113652,-0.262594354018782,0.0765902316628119,0.416991261275309,0.379873046272475
TRBV5-8,0.00378337552740872,0.00586087011334671,-0.00207749458593799,-0.437681468256444,0.175276544114354,0.780777332873032,0.107472803372944
TRBV6-1,0.030966208330315,0.033692036415376,-0.00272582808506101,-0.0843649452005296,0.171183876479956,0.780777332873032,0.107472803372944
TRBV4-2,0.0116909865150788,0.00998333422068973,0.00170765229438912,0.157901036802264,0.294466809066923,0.790543481382757,0.102074238059075
TRBV4-3,0.0114052024921948,0.00769544025710482,0.00370976223508997,0.393441631211668,0.276987780725341,0.790543481382757,0.102074238059075
TRBV5-4,0.0249919264161498,0.0223560394958504,0.00263588692029945,0.111456321273002,0.469982696031752,0.790543481382757,0.102074238059075
TRBV5-5,0.0100669911863481,0.0104218894115067,-0.000354898225158636,-0.0346464731206771,0.412985695857263,0.790543481382757,0.102074238059075
TRBV5-6,0.0168228931148933,0.0144662411709849,0.00235665194390834,0.150922904344559,0.357044577955472,0.790543481382757,0.102074238059075
TRBV6-8,5.03930035163005e-05,0.000326797385620915,-0.000276404382104615,-1.86948801669781,0.310869248386225,0.790543481382757,0.102074238059075
TRBV6-9,6.12680253393848e-05,2.34990012924451e-05,3.77690240469397e-05,0.958300175331708,0.425258403860061,0.790543481382757,0.102074238059075
TRBV7-8,0.0134985418813699,0.0113954497271095,0.00210309215426041,0.169367541848196,0.264232987984251,0.790543481382757,0.102074238059075
TRBV10-3,0.0186173377384939,0.0218406457064833,-0.00322330796798945,-0.159679432726933,0.253413742675897,0.790543481382757,0.102074238059075
TRBV11-2,0.0233885075678878,0.0242093434748327,-0.000820835906944879,-0.0344938805063038,0.281175633143417,0.790543481382757,0.102074238059075
TRBV12-3,0.0301389784987498,0.0343390841138734,-0.00420010561512366,-0.130464883253121,0.195220416115109,0.790543481382757,0.102074238059075
TRBV12-5,0.00497941727748239,0.00440689984583812,0.00057251743164427,0.122141412188987,0.452123924897905,0.790543481382757,0.102074238059075
TRBV13,0.00422305391914167,0.00429454130136855,-7.14873822268876e-05,-0.0167862076071597,0.423079936552188,0.790543481382757,0.102074238059075
TRBV14,0.0108406151574523,0.0108637085679796,-2.30934105272251e-05,-0.00212800173219237,0.45916071298513,0.790543481382757,0.102074238059075
TRBV18,0.0342700729417086,0.0368340265949207,-0.00256395365321212,-0.0721495893678431,0.484006213091484,0.790543481382757,0.102074238059075
TRBV19,0.0559890708659505,0.0517408196659222,0.00424825120002822,0.0789094899316463,0.460407847692224,0.790543481382757,0.102074238059075
TRBV20-1,0.103839746532893,0.112262506779401,-0.00842276024650797,-0.0779911273721068,0.291410592826933,0.790543481382757,0.102074238059075
