,TRBJ1-1,TRBJ1-2,TRBJ1-3,TRBJ1-4,TRBJ1-5,TRBJ1-6,TRBJ2-1,TRBJ2-2,TRBJ2-3,TRBJ2-4,TRBJ2-5,TRBJ2-6,TRBJ2-7
mild,0.0260354236089816,0.939811867548716,0.802408183626175,0.621102786917381,0.846101749398791,0.701091172160356,0.985133112603951,0.621102786917381,0.621102786917381,0.621102786917381,0.621102786917381,0.855425451698388,0.621102786917381
mod,0.621102786917381,0.621102786917381,0.621102786917381,0.636729426276385,0.636729426276385,0.640636271603944,0.846101749398791,0.326977109467371,0.621102786917381,0.621102786917381,0.621102786917381,0.796694543594607,0.840955296106075
sev,0.621102786917381,0.946210715066043,0.846101749398791,0.689303700896001,0.946210715066043,0.621102786917381,0.621102786917381,0.417439001972799,0.719295641819683,0.307791026099664,0.636729426276385,0.946210715066043,0.621102786917381
