,TRBV2,TRBV3-1,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV20-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV30
mild,0.444766073028052,0.914318470994007,0.313073639824054,0.80753877500091,0.874172897380503,0.831188711732004,0.64850722595365,0.907439755799175,0.660122351780836,0.80753877500091,0.681580664848601,0.80753877500091,0.894201682865972,0.994490029511824,0.894201682865972,0.874172897380503,0.0825120004752903,0.804794161485606,0.681580664848601,0.908266971805305,0.426484917293195,0.80753877500091,0.835299171401737,0.444766073028052,0.80753877500091,0.96911124981212,0.96911124981212,0.444766073028052,0.874172897380503,0.512701162811107,0.80753877500091,0.804794161485606,0.263941265921167,0.894201682865972,0.894201682865972,0.894201682865972,0.444766073028052,0.644792684772015,0.672428666159166,0.908266971805305,0.894201682865972,0.444766073028052,0.894201682865972,0.907439755799175,0.96911124981212,0.0813102424793128,0.96911124981212,0.49831299026885,0.80753877500091
mod,0.363881353488404,0.313073639824054,0.426484917293195,0.389197576870336,0.73569194361226,0.804794161485606,0.444583212165731,0.804794161485606,0.94328713796884,NA,0.363881353488404,0.263941265921167,0.80753877500091,0.0775481655074115,0.943166404085907,0.894201682865972,0.023180969973819,0.894201682865972,0.472739675700037,0.444766073028052,0.358992721859501,0.894201682865972,0.444766073028052,0.363881353488404,0.73569194361226,0.96911124981212,1,0.363881353488404,0.681580664848601,0.874172897380503,0.894201682865972,0.601962496952391,0.358992721859501,0.549418431181621,0.96911124981212,0.894201682865972,0.363881353488404,0.804794161485606,0.444766073028052,0.79574248448231,0.894201682865972,0.415822500493605,0.389197576870336,0.80753877500091,0.894201682865972,0.730604582270009,0.804794161485606,1,0.363881353488404
sev,0.681580664848601,0.681580664848601,0.894201682865972,0.444766073028052,0.894201682865972,0.75642449291214,0.444766073028052,0.766334259754685,0.908266971805305,NA,0.426484917293195,0.444766073028052,0.363881353488404,0.023180969973819,0.857655445090474,0.363881353488404,0.0825120004752903,NA,0.426484917293195,0.444766073028052,0.444766073028052,NA,0.80753877500091,0.363881353488404,0.426484917293195,0.800839349875263,0.894201682865972,0.0291349391601052,1,0.549418431181621,0.549418431181621,0.804794161485606,0.358992721859501,0.65720160125985,0.549418431181621,0.894201682865972,0.80753877500091,0.444766073028052,0.263941265921167,0.894201682865972,0.835299171401737,0.444766073028052,0.730604582270009,0.99835092484931,0.894201682865972,0.80753877500091,0.444766073028052,0.363881353488404,0.444766073028052
