,TRBV2,TRBV3-1,TRBV4-1,TRBV4-2,TRBV4-3,TRBV5-1,TRBV5-4,TRBV5-5,TRBV5-6,TRBV5-7,TRBV5-8,TRBV6-1,TRBV6-2,TRBV6-4,TRBV6-5,TRBV6-6,TRBV6-7,TRBV6-8,TRBV6-9,TRBV7-2,TRBV7-3,TRBV7-4,TRBV7-6,TRBV7-7,TRBV7-8,TRBV7-9,TRBV9,TRBV10-1,TRBV10-2,TRBV10-3,TRBV11-1,TRBV11-2,TRBV11-3,TRBV12-3,TRBV12-4,TRBV12-5,TRBV13,TRBV14,TRBV15,TRBV16,TRBV18,TRBV19,TRBV20-1,TRBV24-1,TRBV25-1,TRBV27,TRBV28,TRBV29-1,TRBV30
mild,0.778164447160361,0.960239527703199,0.233490383334237,0.812394081415048,0.790360561737176,0.930702733382896,0.609107710633603,1,0.790360561737176,0.930702733382896,0.868608197837471,0.790360561737176,0.930702733382896,0.930702733382896,0.930702733382896,0.897914510481569,0.954110829173938,0.868608197837471,0.868608197837471,0.370485501224479,0.609107710633603,0.111172191406937,0.868608197837471,0.868608197837471,0.631177868799624,0.930702733382896,0.930702733382896,1,0.930702733382896,0.868608197837471,0.868608197837471,0.930702733382896,0.954110829173938,0.631177868799624,1,0.930702733382896,0.868608197837471,1,0.0201905161385192,0.362489010326591,0.790360561737176,0.790360561737176,0.868608197837471,0.071839467884268,0.868608197837471,0.0877792528945364,0.253596501386976,0.778114419609369,0.850396083114936
mod,1,0.930702733382896,0.0877792528945364,1,0.844690174540936,1,0.954110829173938,0.790360561737176,0.965139124958928,NA,0.609107710633603,0.609107710633603,0.992283099285795,0.897914510481569,0.790360561737176,0.930702733382896,0.986965823778098,0.812394081415048,0.936024598849802,0.370485501224479,0.439595841711453,0.0833352827702776,0.868608197837471,1,0.812394081415048,0.930702733382896,0.867595866554279,0.930702733382896,0.930702733382896,0.868608197837471,0.930702733382896,0.224483505404695,0.986965823778098,0.622140767581613,0.812394081415048,0.609107710633603,0.790360561737176,0.790360561737176,0.0284310999434374,0.790360561737176,0.930702733382896,0.930702733382896,0.930702733382896,0.622140767581613,0.930702733382896,0.193743759492418,0.790360561737176,0.812394081415048,0.850396083114936
sev,0.812394081415048,1,0.766610523696767,0.609107710633603,1,0.930702733382896,0.812394081415048,0.614359086732199,0.812394081415048,0.926031236697996,0.190239311542473,0.903324160981384,0.975043383308446,0.790360561737176,0.790360561737176,0.850396083114936,0.868608197837471,0.850396083114936,0.529667126148702,0.812394081415048,0.812394081415048,0.370485501224479,0.812394081415048,0.930702733382896,0.930702733382896,0.774446081427457,0.812394081415048,0.986965823778098,1,0.850396083114936,0.930702733382896,1,1,0.930702733382896,0.43469339697663,1,0.897914510481569,0.930702733382896,0.0773020445001498,0.812394081415048,0.897914510481569,0.812394081415048,0.439595841711453,0.344782612387607,0.868608197837471,0.293920654286882,0.0201905161385192,0.930702733382896,0.868608197837471
