vgene,mean_covid,mean_hd,mean_diff,logfc,pval,padj,sig
TRBV6-7,0.000207440952660431,0.000970364167893918,-0.000762923215233486,-1.54282469817697,3.01200483173964e-05,0.00147588236755242,2.83094825576415
TRBV2,0.032821958431244,0.0434150976622853,-0.0105931392310413,-0.279709497249682,0.0410832728327882,0.424530125987914,0.372091485429269
TRBV5-8,0.00371648806066795,0.00350588578106418,0.000210602279603768,0.0583359448227251,0.0723137324457174,0.424530125987914,0.372091485429269
TRBV7-3,0.0102278868921413,0.0127483159652288,-0.00252042907308746,-0.22028118300331,0.0866388012220233,0.424530125987914,0.372091485429269
TRBV7-7,0.00241225463950238,0.00280208742538764,-0.000389832785885258,-0.149802803268716,0.0287237142490954,0.424530125987914,0.372091485429269
TRBV10-1,0.00387684659473528,0.00296773676183425,0.00090910983290103,0.267222460605363,0.0777479736003017,0.424530125987914,0.372091485429269
TRBV11-3,0.00562636837833156,0.0060054322002538,-0.000379063821922236,-0.0652002405750411,0.0274303977185917,0.424530125987914,0.372091485429269
TRBV15,0.013986823321124,0.0157971023562538,-0.00181027903512982,-0.121710832971877,0.04608901734955,0.424530125987914,0.372091485429269
TRBV27,0.0514137025007985,0.0550508010524992,-0.00363709855170074,-0.0683516918730678,0.0579680213279791,0.424530125987914,0.372091485429269
TRBV30,0.0159469180842728,0.0200274241392904,-0.00408050605501765,-0.227836954268533,0.0787814499160978,0.424530125987914,0.372091485429269
TRBV4-1,0.0361707860004234,0.0615132436043288,-0.0253424576039054,-0.531000718333613,0.115443536610073,0.435133330299508,0.361377649387682
TRBV6-4,0.0113743457786895,0.0131797370460446,-0.00180539126735502,-0.147320128670712,0.107595788869686,0.435133330299508,0.361377649387682
TRBV6-9,9.32850477431699e-05,0.000143061516452074,-4.97764687089045e-05,-0.427614887713585,0.0998416105836004,0.435133330299508,0.361377649387682
TRBV6-1,0.0252112146263328,0.0284278862851373,-0.00321667165880456,-0.120081654478288,0.163504119886696,0.471276580849889,0.326724141102594
TRBV13,0.0140712179809722,0.0147178193783425,-0.000646601397370293,-0.044927529077147,0.159046086321945,0.471276580849889,0.326724141102594
TRBV14,0.0150303145519564,0.00557094861105775,0.00945936594089862,0.992503785189501,0.140959212832979,0.471276580849889,0.326724141102594
TRBV19,0.046667338968315,0.0512479986289208,-0.0045806596606058,-0.0936320258116778,0.14893153290154,0.471276580849889,0.326724141102594
TRBV3-1,0.028043530106496,0.0438067074585485,-0.0157631773520525,-0.446028994357263,0.190248759555121,0.517899401011162,0.285754591275401
TRBV4-2,0.0194281543496913,0.0173423684642931,0.00208578588539819,0.11357071749385,0.291154351697354,0.570662529326813,0.243620643029897
TRBV5-1,0.0377996824391523,0.0357891358960109,0.00201054654314135,0.0546563207501479,0.269508245809972,0.570662529326813,0.243620643029897
TRBV5-4,0.015222605290534,0.0149048322946717,0.000317772995862298,0.0210960377955633,0.257091709642131,0.570662529326813,0.243620643029897
TRBV6-6,0.0147629488213107,0.0150555350768273,-0.000292586255516612,-0.0196251189122002,0.257944161349395,0.570662529326813,0.243620643029897
TRBV7-2,0.0219398868157956,0.0307244552583566,-0.00878456844256095,-0.336752629677487,0.28588065167219,0.570662529326813,0.243620643029897
