jgene,mean_covid,mean_hd,mean_diff,logfc,pval,padj,sig
TRBJ2-1,0.170757453215154,0.209498061280536,-0.038740608065382,-0.204470337921117,0.0528710837268995,0.687324088449694,0.162838435230388
TRBJ2-4,0.0101429108848413,0.0104025828260353,-0.000259671941194058,-0.0252790974937047,0.109244814933251,0.710091297066132,0.148685810065403
TRBJ1-5,0.0542766041725702,0.0548960886422233,-0.000619484469653084,-0.0113488291364687,0.275771169655538,0.896256301380498,0.0475677778846365
TRBJ2-7,0.194387382765878,0.205061276281755,-0.010673893515877,-0.0534558567132814,0.248390114959067,0.896256301380498,0.0475677778846365
TRBJ1-1,0.12084043140731,0.113351242748302,0.00748918865900811,0.0639795858752185,0.816887478537243,0.984720799088189,0.0066868888969848
TRBJ1-2,0.0859831302110433,0.0799661317868472,0.00601699842419612,0.0725479243044148,0.424226486501201,0.984720799088189,0.0066868888969848
TRBJ1-3,0.022088686934765,0.0188074316880458,0.00328125524671921,0.16081347977207,0.636636572558851,0.984720799088189,0.0066868888969848
TRBJ1-4,0.030613949899316,0.0245591414042037,0.0060548084951123,0.22037164058403,0.725013307132628,0.984720799088189,0.0066868888969848
TRBJ1-6,0.0304172635277156,0.022050887532646,0.00836637599506966,0.321657474434515,0.9652686817725,0.984720799088189,0.0066868888969848
TRBJ2-2,0.067007822257052,0.0838586768629812,-0.0168508546059292,-0.224323601008965,0.984720799088189,0.984720799088189,0.0066868888969848
TRBJ2-3,0.113573714909621,0.0986614524535859,0.0149122624560346,0.14075777917075,0.579830701906926,0.984720799088189,0.0066868888969848
TRBJ2-5,0.0832356666906219,0.0678143917205247,0.0154212749700972,0.204901502467633,0.901623987157847,0.984720799088189,0.0066868888969848
TRBJ2-6,0.0166749831241116,0.0110726347723134,0.00560234835179816,0.409432851207523,0.755173848759665,0.984720799088189,0.0066868888969848
