vgene,mean_covid,mean_hd,mean_diff,logfc,pval,padj,sig
TRBV6-4,0.00864012549301054,0.0116939770897726,-0.00305385159676208,-0.302656823243298,1.02759118743984e-09,6.26830624338301e-08,7.20284979386229
TRBV6-6,0.0137087070146378,0.015321515233945,-0.0016128082193072,-0.111226885559234,3.28583957201604e-09,1.00218106946489e-07,6.99905380505052
TRBV12-4,5.22983752433523e-06,1.8205390474856e-06,3.40929847684964e-06,1.05524757432835,4.10394453251366e-08,7.05329008822546e-07,6.15160825409318
TRBV25-1,0.00953686319220115,0.0106763979357205,-0.00113953474351938,-0.112870879164034,4.62510825457407e-08,7.05329008822546e-07,6.15160825409318
TRBV6-7,0.00031489749252162,0.00034339856590415,-2.85010733825297e-05,-0.0866446069887713,2.97893399215712e-07,3.63429947043169e-06,5.43957928919162
TRBV6-1,0.0389365105294605,0.0423819838276347,-0.00344547329817423,-0.0847909777512648,8.25257049371307e-07,8.39011333527496e-06,5.07623217259775
TRBV24-1,0.0152675682005686,0.0178609389505887,-0.00259337075002011,-0.156885293740273,8.56391484835414e-06,7.46284008213718e-05,4.12709586458214
TRBV14-1,0.0109649921145406,0.012186490288166,-0.00122149817362543,-0.105620322019939,1.63396531920656e-05,0.0001245898555895,3.90451731755532
TRBV21-1,0.0071541000560668,0.0072226691595978,-6.85691035310076e-05,-0.00953894751115824,4.43244857936899e-05,0.000300421514823898,3.52226896835658
TRBV12-2,0.000809129872833214,0.000859353411486908,-5.02235386536934e-05,-0.0602208201638845,0.000147291491882902,0.000898478100485699,3.04649250392409
TRBV5-6,0.0200355869377235,0.0240625832229526,-0.00402699628522913,-0.183148031380393,0.000166577084065785,0.00092374564800117,3.03444759466319
TRBV13-1,0.00868486098551578,0.00816281458468621,0.000522046400829571,0.0619923591944948,0.000335143403012818,0.00170364563198183,2.76862073590723
TRBV12-5,0.0051067441880107,0.00557615473399261,-0.000469410545981912,-0.0879373671229098,0.000394536640817856,0.00185128731460686,2.73252617472892
TRBV17-1,5.46737632244801e-06,1.03644423133371e-05,-4.89706599088909e-06,-0.639582086830062,0.00047161936484168,0.00205491294681018,2.68720657160824
TRBV5-7,0.000116245326081795,0.000118414426648068,-2.16910056627291e-06,-0.0184877238057701,0.000722028733677868,0.00293625018362333,2.532206943055
TRBV7-7,0.00296815231199883,0.00380735583175166,-0.000839203519752824,-0.248995298742407,0.00132446074940458,0.00504950660710497,2.29675105520412
TRBV12-1,0.0335582730475904,0.0355564572318109,-0.0019981841842205,-0.0578383561591651,0.00153321612193949,0.00550154020225346,2.25951570910599
