vgene,Subject_100,Subject_101,Subject_102,Subject_103,Subject_104,Subject_105,Subject_106,Subject_12,Subject_13,Subject_14,Subject_15,Subject_151,Subject_152,Subject_153,Subject_154,Subject_155,Subject_156,Subject_157,Subject_158,Subject_16,Subject_17,Subject_18,Subject_19,Subject_22,Subject_24,Subject_26,Subject_27,Subject_39,Subject_40,Subject_41,Subject_42,Subject_43,Subject_44,Subject_45,Subject_46,Subject_47,Subject_48,Subject_49,Subject_50,Subject_51,Subject_52,Subject_53,Subject_54,Subject_55,Subject_56,Subject_57,Subject_58,Subject_59,Subject_60,Subject_61,Subject_62,Subject_63,Subject_64,Subject_65,Subject_66,Subject_67,Subject_68,Subject_69,Subject_70,Subject_71,Subject_72,Subject_73,Subject_74,Subject_75,Subject_76,Subject_77,Subject_78,Subject_79,Subject_80,Subject_81,Subject_82,Subject_83,Subject_84,Subject_85,Subject_86,Subject_87,Subject_88,Subject_89,Subject_90,Subject_91,Subject_92,Subject_93,Subject_94,Subject_95,Subject_96,Subject_97,Subject_98,Subject_99
TRBV1-1,0.000367851218330309,0.000397587213595211,0.000519036096275827,0.000762257510027012,0.000399565633488756,0.000499806254878727,0.000594452905176269,0.000465723484931828,0.00038395918680783,0.000329703054539267,0.000298222028667184,0.000297560007934934,0.000460339484160432,0.000294508931745016,0.000590581890307771,0.000485039234284729,0.000640032338476049,0.00031689812657284,0.000587366720780545,0.000483695433108952,0.000315684701547969,0.000596197718631179,0.000506062791633626,0.000444253691446987,0.000376656058430818,0.000522831485759907,0.000305090123622518,0.000447926788089282,0.000690184543736414,0.000377625049424455,0.000346966383245812,0.000402112796047027,0.000638566848888333,0.000344622325260816,0.000502802577846956,0.000316295546558704,0.000671019022091726,0.000296090790359608,0.000302243009485546,0.000182965876863965,0.000321562126634492,0.000583660707127395,0.000356883655928167,0.000363684020838111,0.000507822596585121,0.000306618735462043,0.000278441480255113,0.0004352028045069,0.000309402161744051,0.000437120088470117,0.00061895092058351,0.000252607422376736,0.000206619574621951,0.000656066020959583,0.00046648147177525,0.000372564930922379,0.00041464504768418,0.000418267633876398,0.0004273348549546,0.000616846179986112,0.000460810322151216,0.000287467134092901,0.000317794134828835,0.000326290168965396,0.000382747862620221,0.000452319004743551,0.000363196812947966,0.000566611150220635,0.00027407272062854,0.000205298158915439,0.000203534188524847,0.000320923231953684,0.000345082882634174,0.000424935366139403,0.000295268650401918,0.00031224679354163,0.000369635604798712,0.000311822927587189,0.000254843098719305,0.000435953047856746,0.000386705542551298,0.000270661679930261,0.00034597621614663,0.000304840224731049,0.0002783203125,0.000458675407267686,0.000245655113499302,0.000579010462963718
TRBV10-1,0.0147352709188853,0.00809941952266815,0.00616042152890136,0.00582692150282393,0.00416966072366492,0.00651994451588991,0.00529346158418868,0.00383946841514665,0.00275115104286654,0.00554113843274058,0.00350765909908545,0.00151613908804942,0.00863622806903796,0.00466136550589526,0.00537095228544048,0.00334138139173924,0.00444654045678097,0.00315034019945941,0.00468261802400046,0.00738307334703804,0.00600543720474196,0.00432851711026616,0.00574998904194743,0.0048943203295007,0.00703637187416412,0.00345492698022425,0.00439736564847923,0.0056232039858593,0.00481194083763892,0.00940952770212936,0.0374411814010425,0.0039597887203953,0.00520345689026574,0.00175966247898326,0.00498430381517852,0.0066150954308849,0.00651741127534394,0.00417771937082735,0.00200274155780321,0.00404049644741256,0.00151633175231954,0.00635933616611882,0.00210231464542559,0.00595655450345664,0.00545529184595034,0.00352082892789173,0.00409760502699754,0.00508737071475307,0.0433529423738474,0.00449822723519676,0.00659649063306809,0.00609254850918806,0.00306916159803023,0.00615925139414029,0.00553488128308612,0.00224049321472499,0.0039095104495937,0.00504381558498009,0.00208367150206545,0.00505296751030539,0.00376648436924987,0.00439263803680982,0.0035658371305059,0.00131397932907686,0.00465083158648989,0.00718684640870308,0.00407461424526,0.0068909073218752,0.00435775625799379,0.00224361559386158,0.00404458964376298,0.00682603714365487,0.00510095242875607,0.00354642319591109,0.00593181497673107,0.0058852591846011,0.00167037861915367,0.00411821314709978,0.0050493488542859,0.00289182188411641,0.00333319644641562,0.00723053344956554,0.00633216935133482,0.00584867873030502,0.00212890625,0.00756041373552467,0.000880817433988487,0.00323756554643093
TRBV10-2,0.00349458657413794,0.00602060637729891,0.00600650047966094,0.00625153474666448,0.00498490350812182,0.004520719496375,0.00764296592369489,0.00327473285074112,0.00693797556684062,0.00469029184038118,0.00382481585973151,0.00161532575736107,0.00719037306949181,0.0036661284262052,0.00505894675848544,0.0037401914288178,0.00578274832131869,0.00458570230217168,0.00552287874956151,0.00697327582732073,0.00780669697239802,0.00338555133079848,0.00438322102989755,0.0127854706453726,0.0054860773727967,0.00390004027215498,0.00536958617575632,0.00529242728080875,0.00465713308951113,0.00530007863486323,0.00306032147020183,0.00454591923666724,0.00629506103059512,0.00194763829276189,0.00329226383581528,0.00472334682860999,0.00851563919195963,0.00510655212414722,0.00131887858684602,0.00471899490744976,0.00166879655374107,0.0062246452337048,0.00204533322136983,0.00331902624422529,0.00544008757659151,0.00275428208923662,0.00371757003367637,0.0035986769834743,0.00332607323874855,0.00333630973507534,0.00633788785118046,0.00461115582880923,0.00227281532084146,0.00516220369123461,0.00433985009696525,0.00236298031530221,0.00340870539200112,0.00571222366656688,0.0017557168459375,0.00398549118685637,0.0048545087409958,0.00360385626643295,0.00382287650426452,0.0177666466777194,0.0041345670276068,0.00567911639289125,0.010458933222861,0.00781236585910269,0.00752786405993057,0.00153973619186579,0.00491613347667707,0.00565145811470438,0.00399668720432671,0.00586569659614858,0.005817233112396,0.00590106914883105,0.00144578989725066,0.00515583081993301,0.0065697686974926,0.00432320105791273,0.00400736451617319,0.00591940609094232,0.00549538966577088,0.00394165499884799,0.001611328125,0.00386524219607601,0.0078919471598064,0.00326746749522248
TRBV10-3,0.010660611269688,0.0174824777635151,0.0232098624017411,0.0157260374887452,0.0175293310175712,0.0126299355867669,0.011322912479548,0.0136710011954792,0.0283862696194798,0.0114651578320429,0.0110152803287069,0.0129226060588885,0.0115473890322497,0.0136591211447258,0.0119787836241671,0.0126972492886091,0.0107570347414045,0.015938111659987,0.00982207683083023,0.0144705550405095,0.0181240158065187,0.0109201520912548,0.0152894719015608,0.0141558803376328,0.0127735532859147,0.0151550477966892,0.0186308368825484,0.0167111147864078,0.0142003857293058,0.016553305107712,0.00999575063642991,0.0127244845799966,0.0154723021629295,0.0117432668107815,0.0127274635140216,0.0132904376325429,0.0122414630439054,0.0105740916502397,0.00907339620394992,0.00978867441222212,0.00951657569600182,0.0158550469013068,0.0179581456445199,0.0165296025687232,0.0147998357938909,0.0125502220342567,0.0173913043478261,0.0119725792219174,0.00977466566246667,0.0141111331124071,0.0148251463649352,0.0112003562192804,0.00835948362324642,0.0111703872516013,0.0109020388909272,0.0183832723449645,0.0115346713264872,0.0147213804472183,0.00891771650804483,0.020429797733552,0.0113314538245657,0.0127186678352323,0.010590022198855,0.0126312509553541,0.011219853042623,0.0166971434315162,0.0126210892499418,0.0105910498331645,0.0161702905170839,0.0149721014466188,0.0126452138152745,0.00714054191096948,0.0148699351244181,0.00838750928305064,0.0105283105344803,0.0142922076638802,0.0134987179727125,0.0163707036983274,0.0154979159017774,0.0131149208563571,0.0108037999808358,0.0162080650150446,0.00948216210997216,0.0119667511475817,0.0156689453125,0.0167339218808784,0.00965358202778337,0.0138989694701103
TRBV11-1,0.00205147794838057,0.00297243773973562,0.00241262295786143,0.00255791110747319,0.00220727789467579,0.000140395015415373,0.00104736940435819,0.00309137714801206,0.00240391838697076,0.00270143793074109,0.00185560373392915,0.0035707200952192,0.00282687345202744,0.0036864393870152,0.00154888458024114,0.00355695438475468,0.00260504390397269,0.00184546556063007,0.00271657108361002,0.00208929555134561,0.00360251953531212,0.00426768060836502,0.0032714767868599,0.00399075349943904,0.00252741673990534,0.00303100955933784,0.00356345264391101,0.00303211979629668,0.00360573046680986,0.00344749456886326,0.00259640012631136,0.00295791446583745,0.00209260082237055,0.003529768058732,0.00274136709834818,0.00292799305957201,0.00152740241492702,0.00152101433403908,0.00275987556136296,0.00202024822370628,0.00917838104557589,0.00257516235067746,0.00387473683579153,0.00176927361488811,0.00140487448875644,0.00123176147176993,0.00203563298402724,0.00246414829310459,0.00243857756427219,0.00344839180904203,0.00360348138695879,0.00246613347947458,0.0025741355338318,0.00364289290585453,0.00288275066827402,0.00125549278091651,0.00248248528548581,0.00362908682333933,0.00420709508366156,0.00128909770547996,0.00256645748864775,0.00282559158632778,0.00284612688398177,0.00376556492292497,0.00252791611591029,0.00500257087297568,0.00252535284002883,0.00198600069824808,0.00337109446373104,0.00373935932310264,0.00244762908764495,0.0014281083821939,0.00344455459211203,0.00114772262443259,0.0022299393597518,0.00298808323946167,0.00264359641406674,0.00199459148508357,0.0021899228991642,0.00299354426194965,0.00326817516049991,0.00195438823430162,0.00271148801956777,0.00376087765627492,0.0296826171875,0.00315403763199802,0.00073917844962853,0.00325931241827933
TRBV11-2,0.0134053472833834,0.0183344503640763,0.0188857547858708,0.021854792502251,0.00925445564015892,0.0180267199793339,0.0166956344510935,0.0152441931248946,0.0218355920149844,0.0131030375223347,0.0180400658928673,0.0126817241477031,0.0179013706446049,0.0151113548426408,0.0186646163446324,0.0146158489264465,0.0171910440387163,0.0281852921987138,0.0156141653274162,0.0176078573635912,0.0242668687048757,0.0164349809885932,0.0207764676817144,0.0154133441761353,0.0165401138702229,0.0161017967033355,0.0182484572609415,0.0178205949845982,0.0164096213015461,0.0197608967039997,0.0220694010736465,0.015402964729937,0.0202658681704628,0.0163173449460614,0.0164613191790764,0.017986673414305,0.0203715443447184,0.020004380521282,0.0291466061773586,0.0189827097246364,0.0132089959777013,0.0232502204762287,0.0129077920597885,0.016526326136103,0.0194736281947971,0.0154102347219285,0.0179218482493933,0.0173841009910618,0.0229934659148737,0.0179069793507459,0.0221677696145971,0.00845592642701786,0.0107571316037553,0.018650403135305,0.0182189842234918,0.0144636851264934,0.0109746312620826,0.0200973497414532,0.0167157494426427,0.0171682697279967,0.0186532178320794,0.0172585451358457,0.015441056198154,0.0153709125542347,0.0148470566244309,0.0200412112870989,0.0152826408948261,0.0230908352077288,0.0255618490772885,0.0143635390469766,0.0172586554218377,0.0134017541663859,0.0177623571043154,0.020845661092203,0.0178395148780144,0.0198256951443647,0.0110095263049541,0.0179405708510078,0.0173120532146945,0.0185570680704355,0.0133190970938907,0.0190412249374315,0.00931721996041388,0.0190808712758981,0.0082958984375,0.0012781067528358,0.0140222594516358,0.0146356447539749
TRBV11-3,0.00293219865380602,0.00617585471784561,0.00396257212811959,0.00414893181632152,0.0037088713237545,0.0055764900122986,0.0112493135484309,0.0047525798147374,0.010356881717199,0.0182719305709181,0.00364493590593225,0.00504435061070649,0.00632156333882283,0.00584955671328032,0.00447950792271177,0.00502285073725964,0.00351456354285971,0.00643116786280175,0.00876971145609842,0.00467572252005321,0.0145437798971982,0.0119361216730038,0.00630785353666166,0.0061367247208355,0.012577037081516,0.00491037679193426,0.0062319742585293,0.0137547979850186,0.00366700853377712,0.00502907712880568,0.00615183092990889,0.00515931163741694,0.00440956297002619,0.0130747621583801,0.00641838421112462,0.00596744264507422,0.00417440562914521,0.0035530894843153,0.0118882250397648,0.011999512090995,0.0163303662758948,0.00518239397097731,0.00610600944092226,0.00616952262376724,0.00425111371273053,0.0107528018608585,0.00580211841288356,0.00462515532238023,0.00624910945101472,0.00395649721102439,0.00470996214224849,0.00953485982428799,0.0114759955404608,0.0145758878472402,0.00560301902615441,0.0133459903337263,0.00413568047560325,0.0116827891069986,0.00516777033898586,0.00511576023521416,0.00529931870473899,0.00698334794040315,0.0111648557074425,0.00547050454454596,0.00305753234441967,0.00808761844379067,0.0041710883986993,0.00564894146735118,0.010816736707473,0.0142755541217271,0.00361664596532612,0.017024977455143,0.00642481585122536,0.00365364987708645,0.00438936680298971,0.00515800083002312,0.00893208062735116,0.0049354042676731,0.00433665205278276,0.00502799181861447,0.00248449755656852,0.0128335817327972,0.0118637658304234,0.00340641227868068,0.003046875,0.014322010750527,0.00291023850677101,0.00504799262781044
TRBV12-1,0.0235919964063766,0.0237567826485367,0.0272762417491158,0.0214250634361955,0.0274379142673932,0.0293481740224295,0.0275882762564187,0.0263665500524397,0.0203364817986652,0.0228665021696588,0.0236826160225702,0.0327599399212174,0.026297703489503,0.0225045445774812,0.0266987586637249,0.0184314909028197,0.0246244020750522,0.0244197968123777,0.0296946508839053,0.0503715049645962,0.0269594735121966,0.0264182509505703,0.0246496411735875,0.0274307830159555,0.0283965915356104,0.0232942622777083,0.0226295514361609,0.0280539992970995,0.0380827060394373,0.0272734138637262,0.0248568276356775,0.0186880218095076,0.0258835305843318,0.0293398916006141,0.0208947262567878,0.0180499325236167,0.0212353423123835,0.0227300382078801,0.0277300328803759,0.0209343457445186,0.061970011559604,0.0297923514791951,0.0176282531894602,0.0303594246584319,0.0256708883854586,0.0201681116515119,0.028288149304837,0.0294227109833182,0.024365420237344,0.0262757742069259,0.0279291004438641,0.0226790087513487,0.0184364924605378,0.0283619067350356,0.0333193563603962,0.0270186129356585,0.0280073882208496,0.0240503889478929,0.022502989687648,0.0379268058448946,0.0193860342471671,0.0192953549517967,0.0273676831405538,0.0285871341728691,0.0327026894713184,0.0228672385731462,0.0525443639232066,0.0338764787692519,0.0224922346062489,0.0230520504153622,0.0218146899495861,0.0428785530213318,0.0256804407022123,0.0264929329674388,0.0267548653222395,0.0329123930357108,0.0236379629802923,0.0305048843298226,0.0275446515344578,0.032213297294548,0.0163956305695865,0.0288026208486825,0.0303413095602079,0.0219484961806356,0.0139794921875,0.0304323402237718,0.0142590621286126,0.0283905411980895
TRBV12-2,0.00066142478680546,0.0005111835603367,0.000848355550464627,0.000521813865924531,0.000473678613893928,0.000550348460428261,0.000464239411661468,0.000641744959551732,0.000477444901856693,0.000648770526674041,0.00049230303145059,0.000453424773996089,0.000583528923583646,0.000832749393210046,0.000624011053910098,0.000786841424506338,0.000662489613510297,0.000727001584490633,0.000456840782829313,0.000745697126042968,0.000571946400451615,0.00066615969581749,0.000717254350346872,0.000594848163123932,0.000660512798117811,0.00062881084098151,0.000480008461166095,0.000682226954166753,0.000454747760125394,0.000621970669640279,0.000643252283545607,0.000558868631794173,0.000686027898467871,0.000553484340570402,0.000773878750251401,0.000575356660882977,0.000519020238081998,0.000356931363721172,0.00043046731654002,0.000472661848565243,0.000548873285117495,0.000651006173334402,0.000482842593314579,0.000507847056125291,0.000526067719815724,0.000454641573271305,0.000259627866724362,0.000564262946533084,0.000635088647790421,0.00054546609330459,0.000712217497657737,0.000500933363018273,0.000426152872657773,0.000625852454204865,0.000733791079197023,0.000321528639015204,0.00037156504272998,0.00059869680927406,0.00073872614461144,0.000380450039153111,0.000515211540738513,0.000497808939526731,0.000640261712816918,0.00855409361882253,0.000431703984583272,0.000738401110307847,0.000556145119826574,0.000632429617165456,0.000666910286862781,0.000410596317830878,0.000287035394073502,0.000629009534629221,0.000558406846444391,0.000571875632935271,0.000471548441686645,0.00120946226359163,0.000280735902378769,0.00056988328145245,0.000462173077338401,0.000497713062969785,0.000489370730839254,0.000337448328224741,0.000551148158280096,0.000425358453113092,0.000146484375,0.000582363157542118,0.000196966712625566,0.000888903386803455
TRBV12-3/12-4,0.00841105958836034,0.0105493140673929,0.0144220443578987,0.0100525906523696,0.014126578525925,0.0140451173421539,0.0145669269049385,0.0124278495309761,0.00863407353986999,0.0102207946907173,0.012520591521027,0.0116048403094624,0.0111583697498606,0.00855091450101047,0.0126139377326113,0.00846123997585583,0.01335085000786,0.0117625128157331,0.0155081130028308,0.0101105781504024,0.0161333452179339,0.0133505703422053,0.0104440202903286,0.0137492752641051,0.0122440512907293,0.0106332619739008,0.0111052804998597,0.0123834528953298,0.0101657087937251,0.0169575860429782,0.0126545267417518,0.0106662123019254,0.0123830192993886,0.0118111469657571,0.00892365270770119,0.00922980528243686,0.0121821464452675,0.0105416433444469,0.0121996269283257,0.0156740767846797,0.0106087780916397,0.0151783853122745,0.00976781569208438,0.0139051800399725,0.012108680117377,0.00876506661027701,0.0135683780783775,0.0154842156444903,0.012347588902233,0.011615438932082,0.0137652988981826,0.0149338082923738,0.0252979841677751,0.0144981958184424,0.0119188636721002,0.00928860512710588,0.0110715612732295,0.0107396365992381,0.0107827515726916,0.0135262916832883,0.00798097877392454,0.0119579316389132,0.0116041593644117,0.0111291403576846,0.0185054141020335,0.0108324602674481,0.0133191081248262,0.0136673477447159,0.0129270966563128,0.0130437651682345,0.0150615299508387,0.0158022599413994,0.0129688421528152,0.0123826959964734,0.0104445776336201,0.0126361139107923,0.00884318092493122,0.0140535367709123,0.0124829924626914,0.0077962936725048,0.00835694632663956,0.0171079272236439,0.0138028418325475,0.0107403009411056,0.0046875,0.0132345892793642,0.00776801304849143,0.0119444693627351
