,pvalues
TRBJ1-1,1
TRBJ1-2,0
TRBJ1-3,1
TRBJ1-4,1
TRBJ1-5,1
TRBJ1-6,0
TRBJ2-1,0
TRBJ2-2,0
TRBJ2-3,0
TRBJ2-4,1
TRBJ2-5,0
TRBJ2-6,1
TRBJ2-7,1
