jgene,mean_covid,mean_hd,mean_diff,logfc,pval,padj,sig
TRBJ1-4,0.0423969470637711,0.04565974434239,-0.00326279727861886,-0.0741406854941424,2.49522684226817e-05,0.000324379489494862,3.48894661401948
TRBJ1-3,0.0375210015018621,0.0401180946766577,-0.00259709317479555,-0.0669266550921771,0.000310137721631983,0.00201589519060789,2.69553205125623
TRBJ1-1,0.127573631878159,0.135829290548421,-0.00825565867026193,-0.0627051779027533,0.000948253229926051,0.00305731961893179,2.51465915679813
TRBJ2-4,0.0115071415157399,0.0115991790355427,-9.20375198027856e-05,-0.00796647881342956,0.00117589216112761,0.00305731961893179,2.51465915679813
TRBJ2-7,0.164943985553364,0.148516018539872,0.0164279670134912,0.10491311338824,0.0011461295591339,0.00305731961893179,2.51465915679813
TRBJ2-6,0.0142537501649392,0.0153021437346624,-0.0010483935697232,-0.070972890398988,0.00463877067930169,0.0100506698051537,1.9978049946625
TRBJ1-5,0.0831727861367798,0.0885206252893105,-0.00534783915253066,-0.0623153743580015,0.0210186660887773,0.0390346655934436,1.40854953684609
TRBJ1-2,0.116289125045138,0.121111612083855,-0.00482248703871675,-0.0406329869785289,0.0355139612764233,0.0577101870741878,1.2387475178737
TRBJ2-3,0.0875848683524619,0.0879771989831383,-0.000392330630676396,-0.00446943112169974,0.0469264710281236,0.0677826803739563,1.16888126157414
TRBJ1-6,0.0492716302855702,0.0491790501064552,9.25801791150788e-05,0.00188074284577678,0.0650409558712859,0.0840231724681916,1.07560092480447
TRBJ2-1,0.124900261729799,0.117733799393692,0.0071664623361067,0.0590893739802099,0.0710965305500083,0.0840231724681916,1.07560092480447
TRBJ2-2,0.0723394404948877,0.0697193749921106,0.00262006550277709,0.0368912360438341,0.107054744273259,0.115975972962697,0.935631975346749
TRBJ2-5,0.0682454302775286,0.0687338682738924,-0.000488437996363861,-0.00713158954196664,0.189506630136287,0.189506630136287,0.722375591071988
